rank,name,team,cur,pos,age,gp,mpg,usg_pct,to_pct,fta,ft_pct,2pa,2p_pct,3pa,3p_pct,efg_pct,ts_pct,ppg,rpg,apg,spg,bpg,topg,p_r,p_a,p_r_a,vi,ortg,drtg,season
,Chaundee Brown Jr.,Atl,G,23.35,3,27.7,57.7,14.5,0,6,0.833,10,0.3,15,0.4,0.48,0.525,9.7,4.7,9.2,1.3,6.4,0.67,0,0,5.6,117.7,108.7,2021-2022
,Charlie Brown Jr.,Phi,G,24.19,19,8.5,17.8,12,11.5,10,0.9,25,0.32,9,0.111,0.279,0.365,1.5,1.6,10.7,0.3,4.1,0.42,0.16,0.26,4.2,93.4,103.7,2021-2022
,Greg Brown III,Por,F,20.61,48,13.3,27.8,17.2,14.1,65,0.677,129,0.481,61,0.311,0.476,0.515,4.7,2.8,11.6,0.7,8.1,0.52,0.5,0.75,6.3,102.3,104.3,2021-2022
,Troy Brown Jr.,Chi,G-F,22.7,66,16,33.3,12.3,8.8,26,0.769,125,0.488,133,0.353,0.51,0.525,4.3,3.1,10.8,1,8.2,0.53,0.08,0.39,5.9,110.9,110.2,2021-2022
,Bruce Brown,Bro,G-F,25.65,72,24.6,51.3,15,9.1,128,0.758,412,0.529,94,0.404,0.543,0.575,9,4.8,10.6,2.1,11.5,1.07,0.72,0.78,7.3,121.5,105.5,2021-2022
,Jaylen Brown,Bos,G-F,25.46,66,33.6,70.1,30.5,11.6,318,0.758,753,0.544,464,0.358,0.541,0.574,23.6,6.1,9.8,3.5,17.9,1.05,0.27,2.7,9.5,109.3,102.3,2021-2022
,Moses Brown,Dal,C,22.49,26,6.5,13.5,22.1,16.9,43,0.628,50,0.54,0,0,0.54,0.588,3.1,2.3,20.1,0,0.9,0.12,0.35,0.54,0,107.4,91,2021-2022
,Moses Brown,Cle,C,22.49,14,12.5,26.1,19.3,7.8,29,0.552,58,0.638,0,0,0.638,0.636,6.4,5.3,23.3,0,0,0.29,0.57,0.43,0,127,93,2021-2022
,Sterling Brown,Dal,G-F,27.16,49,12.8,26.7,13.2,12.5,15,0.933,63,0.492,92,0.304,0.471,0.495,3.3,3,13.2,0.7,7.5,0.29,0.14,0.47,6,102.3,101.5,2021-2022
,Jalen Brunson,Dal,G,25.61,79,31.9,66.6,21.9,10.1,213,0.84,756,0.545,252,0.373,0.549,0.583,16.3,3.9,6.8,4.8,24.3,0.84,0.04,1.57,8.4,118.3,107.1,2021-2022
,Thomas Bryant,Was,C-F,24.7,27,16.3,33.9,18.7,10.3,40,0.875,106,0.613,42,0.286,0.561,0.607,7.4,4,13.6,0.9,7.9,0.22,0.78,0.7,7.3,118.7,106.6,2021-2022
,Shaq Buchanan,Mem,G,20,2,4.9,10.2,25.1,33.3,0,0,2,0.5,2,0,0.25,0.25,1,1,10.6,1,25.5,0.5,0,1,8.2,61.1,99.8,2021-2022
,Reggie Bullock,Dal,G-F,31.07,68,28,58.3,13.3,7.1,48,0.833,109,0.55,392,0.36,0.542,0.558,8.6,3.5,7,1.2,6.1,0.6,0.21,0.59,4.7,111.7,107.5,2021-2022
,Trey Burke,Dal,G,29.41,42,10.5,21.9,25.6,10.4,23,0.87,133,0.436,82,0.317,0.451,0.475,5.1,0.8,4.2,1.4,20.7,0.29,0,0.62,6.8,97.1,105,2021-2022
,Alec Burks,Nyk,G,30.73,81,28.6,59.6,17.7,9.7,264,0.822,339,0.378,389,0.404,0.499,0.559,11.7,4.9,9.1,3,15.7,1.05,0.32,1.12,7.8,116.8,102.9,2021-2022
,Jared Butler,Uta,G,21.63,42,8.6,17.8,23.1,17.3,16,0.688,63,0.524,88,0.318,0.497,0.509,3.8,1.1,6.8,1.5,26,0.4,0.19,0.79,8.6,102,99.2,2021-2022
,Jimmy Butler,Mia,F,32.57,57,33.9,70.6,26.5,10.5,455,0.87,714,0.52,116,0.233,0.496,0.592,21.4,5.9,9.9,5.5,26.4,1.65,0.47,2.12,10.4,124,107,2021-2022
,Devontae Cacok,San,F,25.51,15,8.1,16.8,12.9,8.1,7,0.571,31,0.677,0,0,0.677,0.675,3.1,2.8,18.2,0.4,6.9,0.53,0.47,0.2,7.5,133.3,95.7,2021-2022
,Kentavious Caldwell-Pope,Was,G,29.14,77,30.2,63,19,9.8,154,0.89,422,0.479,408,0.39,0.531,0.567,13.2,3.4,6.2,1.9,9.1,1.08,0.34,1.26,5.8,108.9,112.3,2021-2022
,Facundo Campazzo,Den,G,31.05,65,18.2,38,14.7,16.9,78,0.769,103,0.476,193,0.301,0.459,0.503,5.1,1.8,5.5,3.4,24.1,0.97,0.35,1.03,6.9,109,104.3,2021-2022
,Vlatko Cancar,Den,F,25,15,11.8,24.5,14,16,14,0.643,29,0.552,12,0.583,0.646,0.657,4.1,2.1,9.8,1.1,13.2,0.13,0.2,0.6,7.2,123.2,106,2021-2022
,Devin Cannady,Orl,G,25.89,5,28.9,60.2,15.6,9.6,7,0.714,7,0,37,0.405,0.511,0.531,10,1.2,2.2,2,10,1,0.6,1,4,103.5,112.6,2021-2022
,Clint Capela,Atl,C,27.9,74,27.6,57.5,15.5,6.1,169,0.473,603,0.614,1,0,0.613,0.604,11.1,11.9,23.5,1.2,6.6,0.76,1.26,0.59,7.8,134,104.9,2021-2022
,Vernon Carey Jr.,Cha,F-C,21.12,4,4.2,8.8,20.9,12,3,0.667,6,0.5,0,0,0.5,0.546,2,1.3,15.7,0,0,0.25,0,0.25,0,113.8,110.7,2021-2022
,Vernon Carey Jr.,Was,F-C,21.12,3,9.1,19,21.8,14.9,10,0.4,7,0.571,0,0,0.571,0.526,4,2.3,14.2,0,0,0.33,0.33,0.67,0,106.8,107.1,2021-2022
,Wendell Carter Jr.,Orl,C-F,22.99,62,29.9,62.2,20.9,13.1,207,0.691,470,0.615,214,0.327,0.576,0.601,15,10.4,18.4,2.8,15.4,0.58,0.69,1.89,10.2,115.4,103.2,2021-2022
,Jevon Carter,Bro,G,26.57,46,12,25,15.9,12.7,10,0.7,47,0.34,127,0.331,0.454,0.462,3.6,1.5,6.6,1,10.9,0.3,0.22,0.57,5.8,94.1,109.6,2021-2022
,Jevon Carter,Mil,G,26.57,20,17.7,36.8,10.9,8.8,8,1,36,0.444,43,0.558,0.658,0.679,5.6,2.2,6.5,2.5,18.8,0.5,0.2,0.4,7.1,142.3,109.4,2021-2022
,Alex Caruso,Chi,G,28.12,41,28,58.3,13.3,16.5,73,0.795,130,0.462,126,0.333,0.48,0.528,7.4,3.6,7.3,4,18.5,1.73,0.37,1.39,6.8,110.8,106,2021-2022
,Willie Cauley-Stein,Dal,C,28.65,18,9.8,20.5,10.9,16.3,2,0.5,33,0.455,2,0.5,0.471,0.474,1.9,2.1,11.9,0.5,7,0.33,0.17,0.39,5.1,103.2,101.5,2021-2022
,Willie Cauley-Stein,Phi,C,28.65,2,2.9,5.9,0,,0,0,0,0,0,0,,,0,1,19.6,0.5,21.5,0,0,0,0,,,2021-2022
,Ahmad Caver,Ind,G,20,1,0.9,1.9,47.5,0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,,,2021-2022
,Justin Champagnie,Tor,G-F,20.78,36,7.8,16.3,12,10.1,9,1,39,0.538,28,0.357,0.537,0.571,2.3,2,13.9,0.3,5.4,0.22,0.11,0.22,5.7,127.8,102.7,2021-2022
,Zylan Cheatham,Uta,F,26.4,1,5.2,10.8,25.1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,119.5,2021-2022
,Chris Chiozza,Gol,G,26.39,34,10.9,22.8,13.4,28,3,0.667,28,0.25,53,0.321,0.401,0.407,2,1.1,5.2,1.9,22.5,0.38,0,0.94,5.9,88.6,103.9,2021-2022
,Marquese Chriss,Dal,F,24.78,34,10.2,21.2,21.6,10.3,33,0.667,109,0.495,25,0.32,0.493,0.518,4.5,3,16.6,0.5,7.7,0.38,0.35,0.5,7.4,107.7,89.4,2021-2022
,Josh Christopher,Hou,G,20.34,74,18,37.5,21.1,17.2,113,0.735,311,0.54,189,0.296,0.504,0.534,7.9,2.5,7.6,2,17.3,0.91,0.18,1.54,7.6,101,112.7,2021-2022
,Brandon Clarke,Mem,F,25.56,64,19.5,40.6,17.7,6.3,130,0.654,425,0.666,22,0.227,0.65,0.66,10.4,5.3,14.3,1.3,10.3,0.59,1.06,0.53,8.5,137.4,102.8,2021-2022
,Gary Clark,Nor,F,27.4,38,10,20.7,11.5,9.9,10,0.7,18,0.278,69,0.406,0.54,0.553,2.7,2.4,13.2,0.5,6.4,0.34,0.18,0.26,5.9,117.2,109.4,2021-2022
,Jordan Clarkson,Uta,G,29.84,79,27.1,56.5,26.8,9.8,174,0.828,516,0.535,597,0.318,0.504,0.532,16,3.5,7,2.5,14.5,0.84,0.2,1.63,7.7,107.9,107.4,2021-2022
,Nic Claxton,Bro,F-C,22.98,47,20.7,43.2,15.1,11.1,93,0.581,264,0.674,0,0,0.674,0.672,8.7,5.6,14.8,0.9,6.4,0.51,1.09,0.81,6.8,131.2,103.7,2021-2022
,Amir Coffey,Lac,G-F,24.82,69,22.7,47.3,15.8,8,117,0.863,212,0.542,254,0.378,0.556,0.598,9,2.9,6.6,1.8,11.4,0.55,0.22,0.65,6.4,120,109.4,2021-2022
,John Collins,Atl,F-C,24.55,54,30.8,64.1,20.5,7.7,169,0.793,468,0.588,176,0.364,0.576,0.61,16.2,7.8,13.9,1.8,8.9,0.61,1.04,1.11,7.9,122.8,106.1,2021-2022
,Zach Collins,San,F-C,24.39,28,17.9,37.4,19.2,19.7,65,0.8,114,0.544,41,0.341,0.535,0.594,7.8,5.5,16,2.2,16.3,0.5,0.79,1.61,10.2,112.9,99.9,2021-2022
,Darren Collison,Lal,G,34.63,3,12.4,25.8,9.3,12.5,0,0,4,0.5,3,0,0.286,0.286,1.3,1.3,5.8,0.7,6.7,0.33,0,0.33,3.4,64.7,104,2021-2022
,Mike Conley,Uta,G,34.5,72,28.6,59.6,20.9,12.5,162,0.796,377,0.464,414,0.408,0.542,0.572,13.7,3,5.8,5.3,27.7,1.33,0.29,1.71,8.4,120.2,106.8,2021-2022
,Pat Connaughton,Mil,G,29.26,65,26,54.2,14,6.3,54,0.833,126,0.643,370,0.395,0.605,0.62,9.9,4.2,8.6,1.3,6.6,0.89,0.23,0.54,5.8,124.7,109.6,2021-2022
,Tyler Cook,Chi,F,24.55,20,10,20.8,13,11.8,32,0.656,38,0.605,0,0,0.605,0.643,3.4,2.7,14.9,0.2,2,0.2,0.2,0.35,4.9,128,101.2,2021-2022
,Sharife Cooper,Atl,G,20.83,13,3,6.2,21.5,26.3,0,0,8,0.25,6,0.167,0.25,0.25,0.5,0.4,7.1,0.4,16.5,0,0,0.38,5.7,,,2021-2022
,Petr Cornelie,Den,F,26.71,13,2.9,6.1,24,19.3,4,0.75,7,0.571,8,0.125,0.367,0.418,1.1,1.1,20.6,0.2,10.8,0.08,0.08,0.31,8.6,,,2021-2022
,DeMarcus Cousins,Mil,C,31.66,17,16.9,35.1,22.4,10.6,38,0.816,70,0.6,48,0.271,0.521,0.572,9.1,5.8,18.1,1.1,9.3,0.94,0.47,0.94,9.2,116,93,2021-2022
,DeMarcus Cousins,Den,C,31.66,31,13.9,28.9,31.9,22,87,0.736,132,0.53,74,0.324,0.515,0.565,8.9,5.5,22.3,1.7,19.1,0.61,0.42,2.23,12.6,101.6,87.1,2021-2022
,Robert Covington,Por,F,31.32,48,29.8,62.1,12.4,14.2,36,0.833,106,0.462,230,0.343,0.499,0.519,7.6,5.7,10.5,1.4,6.7,1.54,1.31,1.21,5.3,100.5,108.7,2021-2022
,Robert Covington,Lac,F,31.32,23,22.1,46.1,16.7,8.8,33,0.848,53,0.604,109,0.45,0.651,0.677,10.4,5.1,12,1,7,1.22,1.22,0.74,6.8,127.7,98.2,2021-2022
,Torrey Craig,Ind,F,31.31,51,20.3,42.2,13.9,11.6,35,0.771,143,0.573,138,0.333,0.537,0.555,6.5,3.8,10.5,1.1,7.7,0.47,0.37,0.76,5.9,112.8,110.7,2021-2022
,Torrey Craig,Pho,F,31.31,27,20.8,43.4,15,14.3,17,0.706,64,0.641,96,0.323,0.547,0.558,6.9,4.3,11,1.2,7.5,0.81,0.63,1.04,6.3,106.8,100.1,2021-2022
,Jae Crowder,Pho,F,31.77,67,28.1,58.6,14.6,8.6,90,0.789,179,0.503,365,0.348,0.516,0.541,9.4,5.3,10.1,1.9,8.3,1.42,0.45,0.82,6.5,108.9,99.9,2021-2022
,Jarrett Culver,Mem,G-F,23.14,37,9.1,19,20.6,11.8,34,0.471,88,0.443,47,0.255,0.422,0.433,3.5,1.3,7.4,0.9,13,0.54,0.14,0.54,7,92.9,100,2021-2022
,Jarron Cumberland,Por,G,24.55,3,4.1,8.5,7,0,0,0,1,1,1,0,0.5,0.5,0.7,1,13.4,0.3,11.3,0,0,0,5.8,137.6,104.2,2021-2022
,Cade Cunningham,Det,G,20.54,64,32.6,68,27.5,17.5,168,0.845,668,0.472,363,0.314,0.471,0.504,17.4,5.5,9.2,5.6,29.1,1.22,0.67,3.66,10,96.2,107.1,2021-2022
,Seth Curry,Phi,G,31.63,45,34.8,72.5,18.5,13,73,0.877,278,0.561,250,0.4,0.58,0.603,15,3.4,5.4,4,17.7,0.8,0.24,1.87,6.8,113.6,109.6,2021-2022
,Seth Curry,Bro,G,31.63,19,29.9,62.3,18.5,10.2,21,0.857,87,0.529,124,0.468,0.63,0.645,14.9,2.6,4.7,2.6,12.5,0.95,0.16,1.32,6.2,120.5,110,2021-2022
,Stephen Curry,Gol,G,34.07,64,34.6,72,30.8,13.2,298,0.923,474,0.527,750,0.38,0.554,0.601,25.5,5.2,8.2,6.3,30.4,1.33,0.36,3.22,10.9,115,104.9,2021-2022
,Anthony Davis,Lal,F-C,29.09,40,35.1,73.1,27.1,9.3,244,0.713,625,0.571,70,0.186,0.542,0.578,23.2,9.9,15,3.1,14.7,1.23,2.25,2.05,10.2,115.5,107.6,2021-2022
,Ed Davis,Cle,C-F,32.85,31,6.5,13.5,6,18.4,14,0.429,16,0.688,0,0,0.688,0.632,0.9,2.1,17.6,0.2,4.5,0.1,0.29,0.16,4.4,128,92.3,2021-2022
,Terence Davis,Sac,G,24.9,30,17.9,37.2,25.6,10.3,44,0.818,118,0.542,149,0.329,0.515,0.543,10.4,3.1,9.5,1.3,11.9,0.83,0.37,1.1,7.8,103.1,103.3,2021-2022
,Gabriel Deck,Okc,F,27.17,7,7.9,16.5,12.4,12.5,0,0,10,0.6,4,0.5,0.643,0.643,2.6,0.9,5.5,0.7,13.9,0.14,0,0.29,6,121,115.1,2021-2022
,Dewayne Dedmon,Mia,C,32.66,67,15.9,33.1,16.9,17.3,100,0.75,243,0.597,47,0.404,0.598,0.632,6.3,5.7,20.5,0.7,6.7,0.36,0.63,1.04,7.4,117.9,90.6,2021-2022
,Sam Dekker,Tor,F,27.93,1,0.9,1.9,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,2021-2022
,Javin DeLaurier,Mil,C,20,1,2.8,5.8,0,,0,0,0,0,0,0,,,0,1,18.9,0,0,1,0,0,0,,,2021-2022
,DeMar DeRozan,Chi,G-F,32.68,76,36.1,75.2,31.8,9.2,593,0.877,1393,0.52,142,0.352,0.521,0.59,27.9,5.2,8,4.9,23.3,0.89,0.32,2.38,9.9,117.4,110.9,2021-2022
,Mamadi Diakite,Okc,F,25.22,13,14.4,30.1,13.3,10.4,11,0.545,42,0.595,5,0,0.532,0.54,4.3,4.5,15.9,0.2,1.6,0.38,0.69,0.46,4.4,110.1,94.9,2021-2022
,Cheick Diallo,Det,F-C,25.57,3,10.2,21.3,16.3,8.6,6,0.833,8,0.375,0,0,0.375,0.517,3.7,4,21.2,0,0,0.33,0,0.33,0,115.7,92.6,2021-2022
,Hamidou Diallo,Det,G,23.7,58,21.9,45.6,21.8,9,140,0.65,433,0.55,93,0.247,0.518,0.541,11,4.8,11.8,1.3,9.8,1.22,0.29,1,7.5,107.4,103.4,2021-2022
,Gorgui Dieng,Atl,C,32.23,44,8.4,17.6,16.9,13.9,26,0.731,44,0.545,68,0.426,0.603,0.624,3.5,2.8,17.8,0.8,12.7,0.25,0.3,0.45,9.5,124.4,99.8,2021-2022
,Spencer Dinwiddie,Was,G,29.01,44,30.2,63,21,11.6,143,0.811,266,0.432,226,0.31,0.447,0.501,12.6,4.7,8.6,5.8,27.5,0.61,0.16,1.66,9.3,108.8,109.9,2021-2022
,Spencer Dinwiddie,Dal,G,29.01,23,28.3,58.9,22.3,9.6,109,0.725,139,0.568,104,0.404,0.584,0.624,15.8,3.2,6.2,3.9,22,0.74,0.26,1.35,8.2,124.3,106.6,2021-2022
,Donte DiVincenzo,Mil,G,25.19,17,20.1,41.8,19.8,17.7,27,0.852,44,0.409,74,0.284,0.419,0.47,7.2,3.5,9.3,1.7,11.3,0.65,0.18,1.65,7,93.9,107.3,2021-2022
,Donte DiVincenzo,Sac,G,25.19,25,26.6,55.4,18.5,15.4,56,0.839,74,0.351,144,0.368,0.484,0.532,10.3,4.4,9,3.6,18.6,1.48,0.2,1.76,8.2,106.5,110.4,2021-2022
,Luka Doncic,Dal,F-G,23.12,65,35.4,73.7,37.4,15.3,489,0.744,834,0.528,569,0.353,0.529,0.571,28.4,9.1,14.3,8.7,46,1.15,0.55,4.49,14.8,110.7,102.7,2021-2022
,Luguentz Dort,Okc,G,22.98,51,32.7,68,23.3,9.8,191,0.843,335,0.487,391,0.332,0.493,0.541,17.2,4.2,6.5,1.7,8.6,0.9,0.35,1.73,6.1,104.5,108,2021-2022
,Ayo Dosunmu,Chi,G,22.23,77,27.4,57.1,14.1,15.9,78,0.679,349,0.596,186,0.376,0.585,0.596,8.8,2.8,5.7,3.3,16.5,0.79,0.38,1.4,6.3,112.6,109.1,2021-2022
,Damyean Dotson,Nyk,G,27.93,2,10.3,21.5,8.5,0,0,0,3,0.667,1,0,0.5,0.5,2,1,5.2,0.5,7.1,0,0,0,3.9,113.5,117.4,2021-2022
,Devon Dotson,Chi,G,22.69,11,7.7,16.1,16.5,15.6,9,0.556,14,0.643,9,0.222,0.522,0.538,2.6,0.8,5.9,1.4,23.9,0.09,0,0.45,7.4,109.4,105.4,2021-2022
,Sekou Doumbouya,Lal,F,21.3,2,8.2,17.1,30.9,17,4,0.75,6,0.667,2,0.5,0.688,0.717,7,3,19.6,0,0,1.5,1,1,0,118.4,98.5,2021-2022
,Jeff Dowtin,Gol,G,24.92,4,6.9,14.4,11,14.3,0,0,5,0.6,1,0,0.5,0.5,1.5,1.8,13.7,0.8,14.8,0,0.25,0.25,7.5,109,103.5,2021-2022
,Jeff Dowtin,Mil,G,24.92,1,3,6.3,14.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,2021-2022
,Jeff Dowtin,Orl,G,24.92,4,19.3,40.3,13.4,16.8,2,1,12,0.333,7,0.143,0.289,0.327,3.3,2.8,7.5,1.8,12.4,1.25,0,1,5.3,85.2,112.9,2021-2022
,P.J. Dozier,Den,G-F,25.46,18,18.9,39.4,15.2,11,13,0.769,51,0.412,48,0.313,0.439,0.463,5.4,3.5,10.3,1.6,11.3,0.61,0.33,0.72,6.6,100.5,104.8,2021-2022
,Goran Dragic,Tor,G,35.93,5,18,37.4,18.8,2.5,10,1,20,0.45,14,0.286,0.441,0.521,8,2.8,8.4,1.8,14.4,1,0.2,0.2,7.6,122.2,103.6,2021-2022
,Goran Dragic,Bro,G,35.93,16,25.5,53.1,16.9,20.6,23,0.739,68,0.471,49,0.245,0.427,0.46,7.3,3.2,6.8,4.8,24.7,0.88,0.19,2.06,7.6,97.6,108.3,2021-2022
,Andre Drummond,Phi,C,28.67,49,18.4,38.4,17.6,22.4,82,0.512,236,0.542,2,0,0.538,0.544,6.1,8.8,26.8,2,16,1.16,0.92,1.61,10.3,111.9,92.2,2021-2022
,Andre Drummond,Bro,C,28.67,24,22.3,46.4,21.5,13.5,82,0.537,194,0.613,1,0,0.61,0.61,11.8,10.3,25.3,1.4,9.8,0.88,1,1.5,9.9,122.8,97.1,2021-2022
,Chris Duarte,Ind,G,24.83,55,28,58.4,21.1,11.8,112,0.804,366,0.475,255,0.369,0.507,0.537,13.1,4.1,8.2,2.1,10.9,1.02,0.18,1.64,6.9,104.4,113.7,2021-2022
,David Duke Jr.,Bro,G,22.49,22,15.5,32.3,15.9,7.1,21,0.81,71,0.423,37,0.243,0.403,0.444,4.7,3,10.7,0.8,6.6,0.64,0.32,0.41,5.8,104.7,105.9,2021-2022
,Kris Dunn,Por,G,28.07,14,24,50.1,18.3,22.5,18,0.944,91,0.473,11,0.091,0.436,0.482,7.6,3.5,8,5.6,35,1.64,0.21,2.29,8.8,100.8,106.6,2021-2022
,Kevin Durant,Bro,F,33.53,55,37.2,77.6,31.2,12.9,409,0.91,815,0.568,300,0.383,0.57,0.634,29.9,7.4,10.8,6.4,29.1,0.87,0.95,3.47,12.1,120.6,110.1,2021-2022
,Jaime Echenique,Was,C,24.96,1,3.1,6.5,0,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,,2021-2022
,Anthony Edwards,Min,G,20.68,72,34.3,71.4,26.4,12.3,280,0.786,642,0.52,602,0.357,0.528,0.561,21.3,4.8,7.4,3.8,17.4,1.46,0.64,2.65,8.5,108,109.7,2021-2022
,Carsen Edwards,Det,G,24.08,4,19.8,41.3,19.2,14.1,1,1,14,0.357,16,0.25,0.367,0.378,5.8,1.5,4.1,3.5,26.1,0.5,0,1.25,6.3,87.4,115.8,2021-2022
,Kessler Edwards,Bro,F,21.67,48,20.6,42.9,13.8,13.2,19,0.842,131,0.473,136,0.353,0.502,0.516,5.9,3.6,9.5,0.6,4.1,0.6,0.5,0.88,4.5,100.4,108,2021-2022
,Rob Edwards,Okc,G,25.22,2,5.5,11.4,19.8,20,0,0,0,0,4,0.25,0.375,0.375,1.5,1.5,14.1,0,0,0,0,0.5,0,59.8,114.6,2021-2022
,CJ Elleby,Por,F-G,21.82,58,20.2,42.2,14.8,14,84,0.714,182,0.462,126,0.294,0.453,0.491,5.8,3.9,10.6,1.5,10.6,0.6,0.33,0.97,6.4,102.8,110.2,2021-2022
,Wayne Ellington,Lal,G,34.37,43,18.8,39.3,13.9,7.3,11,0.818,26,0.615,211,0.389,0.586,0.593,6.7,1.8,5.1,0.7,5,0.53,0.12,0.44,4.3,113.4,113.6,2021-2022
,Joel Embiid,Phi,C-F,28.07,68,33.8,70.4,37.2,11.3,803,0.814,1083,0.529,251,0.371,0.534,0.616,30.6,11.7,19.4,4.2,23.6,1.13,1.47,3.15,13.6,119.8,101.5,2021-2022
,James Ennis III,Bro,F,31.78,2,6.9,14.3,22,0,0,0,5,0.2,2,0.5,0.357,0.357,2.5,2.5,19.9,0,0,0.5,0.5,0,0,93.1,112.1,2021-2022
,James Ennis III,Lac,F,31.78,2,14.1,29.3,21.5,7.3,4,1,7,0.714,4,0.5,0.727,0.784,10,2.5,9.3,0,0,0.5,0.5,0.5,0,145.4,99.1,2021-2022
,James Ennis III,Den,F,31.78,3,4.6,9.7,23.5,13.4,1,0,4,0.5,2,0,0.333,0.311,1.3,0.7,8,1,30,0,0,0.33,8.4,82.7,111.7,2021-2022
,Drew Eubanks,San,F-C,25.19,49,12.1,25.3,17,19.2,79,0.747,151,0.55,8,0.125,0.531,0.588,4.7,4,17.3,1,11.2,0.27,0.61,0.94,8.8,113.6,103.3,2021-2022
,Drew Eubanks,Por,F-C,25.19,22,29.5,61.6,18,13,51,0.784,197,0.675,15,0.267,0.656,0.678,14.5,8.5,15.7,1.6,9.1,0.82,0.45,1.59,7.9,128.1,109.6,2021-2022
,Tacko Fall,Cle,C,26.34,11,5.3,11.1,13.6,16.6,7,0.286,12,0.417,0,0,0.417,0.398,1.1,2.1,21.6,0.2,4.6,0,0.55,0.27,5.8,92.2,104.9,2021-2022
,Derrick Favors,Okc,F,30.74,39,16.7,34.9,13.4,4.5,25,0.64,166,0.554,16,0.125,0.522,0.534,5.3,4.7,14.5,0.6,5.9,0.44,0.31,0.23,5.9,119.1,104.8,2021-2022
,Bruno Fernando,Bos,F-C,23.66,20,2.9,6.1,16,23.6,5,0.8,13,0.462,1,1,0.536,0.586,1,0.8,13.9,0.2,9.6,0,0.15,0.25,7.5,,,2021-2022
,Bruno Fernando,Hou,F-C,23.66,10,9.4,19.6,26.2,15.4,19,0.579,40,0.725,1,0,0.707,0.699,6.9,4,23.3,0.3,6.2,0.1,0.8,0.9,8.6,119.4,96.1,2021-2022
,Dorian Finney-Smith,Dal,F,28.94,80,33,68.8,13.8,9.9,83,0.675,257,0.599,435,0.395,0.595,0.604,11,4.7,7.9,1.9,8.2,1.1,0.49,1,5.6,120.2,105.8,2021-2022
,Malik Fitts,Uta,F,20,7,5,10.4,13.7,18.2,0,0,5,0,4,0.5,0.333,0.333,0.9,1.4,15.7,0,0,0,0,0.29,0,57.2,102.3,2021-2022
,Malik Fitts,Bos,F,20,8,3.5,7.3,15.8,0,0,0,4,0.75,6,0.5,0.75,0.75,1.9,0.9,13.6,0.6,28.7,0,0,0,11.5,,,2021-2022
,Malachi Flynn,Tor,G,23.92,44,12.2,25.4,16.5,6.3,24,0.625,93,0.452,90,0.333,0.475,0.488,4.3,1.4,6.4,1.6,18.5,0.45,0.09,0.3,7,112.8,106.4,2021-2022
,Bryn Forbes,San,G,28.72,40,16.9,35.2,21.9,9.4,49,0.898,145,0.448,151,0.417,0.539,0.572,9.1,1.6,4.9,1,8.6,0.43,0.08,0.83,5.8,107.2,111.7,2021-2022
,Bryn Forbes,Den,G,28.72,35,17.4,36.3,20.3,8.1,38,0.921,99,0.444,144,0.41,0.545,0.578,8.6,0.9,2.7,1,8,0.23,0.06,0.66,4.5,110,110,2021-2022
,Aleem Ford,Orl,F,20,5,14.7,30.6,14.1,16.7,0,0,5,0.8,15,0.133,0.35,0.35,2.8,3,10.8,0.4,3.8,0.2,0,0.8,4.1,67.4,106.1,2021-2022
,Trent Forrest,Uta,G,23.83,60,12.8,26.6,12.8,21.4,48,0.792,128,0.555,27,0.185,0.506,0.554,3.3,1.7,7.1,1.8,18.6,0.5,0.1,0.8,6.8,111.7,108.2,2021-2022
,Evan Fournier,Nyk,G-F,29.45,80,29.5,61.4,20.8,9.4,113,0.708,346,0.465,619,0.389,0.541,0.554,14.1,2.6,4.7,2.1,11.9,0.99,0.25,1.31,5.8,108.8,107.2,2021-2022
,De'Aaron Fox,Sac,G,24.31,59,35.3,73.6,29.1,11.9,348,0.75,843,0.524,249,0.297,0.506,0.549,23.2,3.9,6,5.6,26.8,1.15,0.42,2.85,9,107.4,110.8,2021-2022
,Melvin Frazier Jr.,Okc,G-F,25.61,3,39.9,83.1,19.5,5.5,7,0.714,27,0.444,21,0.048,0.281,0.313,10.7,4.3,5.6,0.3,1.2,0.33,0,1,2.4,69.9,112.9,2021-2022
,Tim Frazier,Orl,G,31.44,10,20,41.6,13,21.7,9,0.556,26,0.269,17,0.353,0.372,0.394,3.7,1.9,5,3.3,22.7,0.3,0.1,1.3,5.7,89.2,106.3,2021-2022
,Tim Frazier,Cle,G,31.44,2,4.1,8.4,21.8,50,0,0,2,0.5,0,0,0.5,0.5,1,0,0,0.5,17.6,0,0,1,0,57.3,77.9,2021-2022
,Enes Freedom,Bos,C,29.89,35,11.8,24.5,13.8,15.5,28,0.857,92,0.533,5,0.4,0.536,0.585,3.7,4.6,21,0.2,2.7,0.14,0.4,0.57,5.1,122.4,97.6,2021-2022
,Markelle Fultz,Orl,G,23.87,18,20,41.6,27.5,17.5,31,0.806,158,0.5,17,0.235,0.486,0.517,10.8,2.7,7.2,5.5,48.9,1.11,0.28,2.22,10.9,102.7,108.8,2021-2022
