rank,name,team,cur,pos,age,gp,mpg,usg_pct,to_pct,fta,ft_pct,2pa,2p_pct,3pa,3p_pct,efg_pct,ts_pct,ppg,rpg,apg,spg,bpg,topg,p_r,p_a,p_r_a,vi,ortg,drtg,season
,Jaxson Hayes,Lal,*,C-F,25.6,32,17.6,11.5,13.7,58,0.655,106,0.764,1,1,0.771,0.766,6.3,4,0.9,0.4,0.6,0.5,10.3,7.2,11.2,6.4,151.3,108.3,2025-2026
,Jarred Vanderbilt,Lal,*,F,26.8,29,20.1,12.4,23.5,31,0.71,66,0.576,51,0.314,0.53,0.559,5,5.2,1.3,0.8,0.3,1.2,10.3,6.4,11.6,6.4,112.1,107.9,2025-2026
,Evan Mobley,Cle,*,C,24.6,36,33.2,21.7,13.9,169,0.639,341,0.589,135,0.333,0.564,0.586,17.9,8.7,4.1,1,1.9,2.1,26.6,22.1,30.8,10.4,118.7,109.9,2025-2026
,Jaylon Tyson,Cle,*,G-F,23.1,37,26.9,17.7,11.9,52,0.731,202,0.554,153,0.458,0.611,0.625,12.8,5.3,2,1,0.5,1.3,18.1,14.7,20,7.6,123,108,2025-2026
,Jarrett Allen,Cle,*,C,27.7,30,26.4,19.1,14.7,108,0.75,265,0.608,7,0.143,0.597,0.635,13.5,7.9,2.2,1,0.7,1.6,21.4,15.7,23.6,9.3,124.8,109.5,2025-2026
,Sam Merrill,Cle,*,G,29.7,24,25.8,17.9,8.7,34,0.882,43,0.535,187,0.455,0.654,0.676,13.8,2.4,2.3,0.7,0.1,0.9,16.2,16.1,18.5,6.6,131.5,110.6,2025-2026
,Donovan Mitchell,Cle,*,G,29.4,38,33.8,32.5,12.4,230,0.848,414,0.589,382,0.387,0.585,0.628,29.7,4.7,5.6,1.5,0.3,3,34.4,35.2,40,10.9,121.3,112,2025-2026
,Dean Wade,Cle,*,F-C,29.2,34,22.6,10.3,5,30,0.733,43,0.605,126,0.325,0.518,0.541,5.8,4,1.6,0.7,0.4,0.3,9.8,7.4,11.4,5.9,124.4,111.9,2025-2026
,Lonzo Ball,Cle,*,G,28.2,28,22.1,13.8,22.2,20,0.7,27,0.481,127,0.276,0.425,0.445,5.2,4.1,4.4,1.3,0.3,1.6,9.3,9.5,13.6,8.2,103.1,111.9,2025-2026
,Craig Porter,Cle,*,G,25.9,37,17.4,12.1,17.3,22,0.636,97,0.526,51,0.392,0.547,0.558,4.8,3.6,2.8,1,0.6,0.8,8.4,7.6,11.2,8.4,126.5,112.2,2025-2026
,Larry Nance Jr.,Cle,*,F-C,33,17,14.4,13,11.8,3,0.333,32,0.406,35,0.314,0.44,0.439,3.5,2.7,1.2,0.5,0.2,0.5,6.2,4.7,7.4,6.2,100.5,102.8,2025-2026
,Tyrese Proctor,Cle,*,G,21.8,28,10.6,20.6,9.4,23,0.826,47,0.447,78,0.295,0.444,0.481,4.6,1.3,1.3,0.3,0,0.5,5.9,5.9,7.2,7.5,104.3,111.6,2025-2026
,O.G. Anunoby,Nyk,*,F-G,28.5,30,32.5,19.7,14.6,108,0.806,180,0.556,171,0.351,0.541,0.586,15.6,5.5,2.2,1.7,0.7,2,21,17.7,23.2,7.1,114.7,110.6,2025-2026
,Karl-Anthony Towns,Nyk,*,C-F,30.2,37,32.4,25.9,15.2,248,0.863,363,0.523,173,0.353,0.525,0.602,21,11.2,3,0.9,0.6,2.6,32.2,24,35.2,11,121.7,104.7,2025-2026
,Ariel Hukporti,Nyk,*,C,23.8,26,9.2,9.1,30.9,16,0.688,30,0.533,1,0,0.516,0.565,1.7,2.7,0.7,0.2,0.6,0.5,4.4,2.3,5,6.4,120,103.6,2025-2026
